source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,"Left Paris for U.S.A. Will be heading to New Jersey and attending the#USWomensOpen, their most important tournament, this afternoon.",,,58385,FALSE,8.85866E+17
Twitter for iPhone,"Great conversations with President @EmmanuelMacron and his representatives on trade, military and security.",,,51117,FALSE,8.85858E+17
Twitter for iPhone,"The United States mourns for the victims of Nice, France. We pledge our solidarity with France against terror. ???????? ",https://t.co/7irbz08oT3,,53025,FALSE,8.85856E+17
Twitter for iPhone,It was a great honor to represent the United States at the magnificent #BastilleDay parade. Congratulations President @EmmanuelMacron! ,https://t.co/1J4vZiy98y,,67582,FALSE,8.85817E+17
Twitter for iPhone,.@VP Mike Pence is working hard on HealthCare and getting our wonderful Republican Senators to do what is right for the people.,,,60424,FALSE,8.85773E+17
Twitter for iPhone,"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!",,,74543,FALSE,8.85773E+17
Twitter for iPhone,"So impt Rep Senators, under leadership of @SenateMajLdr McConnell get healthcare plan approved. After 7yrs of O'Care disaster, must happen!",,,50000,FALSE,8.85772E+17
Twitter for iPhone,"Republicans Senators are working hard to get their failed ObamaCare replacement approved. I will be at my desk, pen in hand!",,,70229,FALSE,8.8577E+17
Twitter for iPhone,Great evening with President @EmmanuelMacron &amp; Mrs. Macron. Went to Eiffel Tower for dinner. Relationship with France stronger than ever. ,https://t.co/ib1pdUYoEU,,45347,FALSE,8.8577E+17
Twitter for iPhone,Great bilateral meetings at Élysée Palace w/ President @EmmanuelMacron. The friendship between our two nations and ourselves is unbreakable. ,https://t.co/IOSoC0MdPv,,58829,FALSE,8.8558E+17
Twitter for iPhone,"President @EmmanuelMacron,Thank you for the beautiful welcome ceremony at Les Invalides today! ",https://t.co/RKir1GcRrB,,57924,FALSE,8.85571E+17
Twitter for iPhone,"Melania and I were thrilled to join the dedicated men and women of the @USEmbassyFrance, members of the U.S. Military and their families. ",https://t.co/ZSdsJ0Bsbl,,70714,FALSE,8.85482E+17
Twitter Web Client,"Just landed in Paris, France with @FLOTUS Melania. ",https://t.co/knULGOQF1K,,77588,FALSE,8.8541E+17
Twitter for iPhone,Big WIN today for building the wall. It will secure the border &amp; save lives. Now the full House &amp; Senate must act! ??,https://t.co/TTg7lvBdo2 ,https://t.co/xhiknXko70,70931,FALSE,8.85279E+17
Twitter for iPhone,"JOBS, JOBS, JOBS! #MAGA???? ",https://t.co/HScS4Y9ZJK,,81023,FALSE,8.85276E+17
Twitter for iPhone,Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA???? ,https://t.co/Vwxsb2vWGe,,65621,FALSE,8.85274E+17
Twitter for iPhone,Getting rdy to leave for France @ the invitation of President Macron to celebrate &amp; honor Bastille Day and 100yrs since U.S. entry into WWI.,,,82798,FALSE,8.85266E+17
Twitter for iPhone,"After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture. ",https://t.co/gDGgejqFMs,,69870,FALSE,8.85233E+17
Twitter for iPhone,"The W.H. is functioning perfectly, focused on HealthCare, Tax Cuts/Reform &amp; many other things. I have very little time for watching T.V.",,,99408,FALSE,8.85131E+17
Twitter for iPhone,Why aren't the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful!,,,104325,FALSE,8.85128E+17
Twitter for iPhone,".@WashTimes states ""Democrats have willfully used Moscow disinformation to influence the presidential election against Donald Trump.""",,,63060,FALSE,8.8511E+17
Twitter for iPhone,"ISIS is on the run &amp; will soon be wiped out of Syria &amp; Iraq, illegal border crossings are way down (75%) &amp; MS 13 gangs are being removed.",,,127630,FALSE,8.85093E+17
Twitter for iPhone,RT @foxandfriends: Getting the job done! Sen. Mitch McConnell delays August recess to work on health care bill ,https://t.co/wBjha8ldeK,,0,TRUE,8.85086E+17
Twitter for iPhone,"Remember, when you hear the words ""sources say"" from the Fake Media, often times those sources are made up and do not exist.",,,117629,FALSE,8.85085E+17
Twitter for iPhone,"My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad!",,,120675,FALSE,8.85081E+17
Twitter for iPhone,"RT @FoxNews: .@jessebwatters on @DonaldJTrumpJr meeting with Russian attorney: ""I believe Don Jr. is the victim here."" #TheFive ",https://t.c…,,0,TRUE,8.85075E+17
Twitter for iPhone,"My son, Donald, will be interviewed by @seanhannity tonight at 10:00 P.M. He is a great person who loves our country!",,,96284,FALSE,8.84931E+17
Twitter for iPhone,"RT @foxandfriends: FOX NEWS ALERT: U.S. flexes its defense muscles, destroys incoming test missile off coast of Alaska ",https://t.co/gdpnc6a…,,0,TRUE,8.84759E+17
Twitter for iPhone,Big wins against ISIS!,,,129612,FALSE,8.8475E+17
Twitter for iPhone,Marine Plane crash in Mississippi is heartbreaking. Melania and I send our deepest condolences to all!,,,121286,FALSE,8.84746E+17
Twitter for iPhone,Working hard to get the Olympics for the United States (L.A.). Stay tuned!,,,108873,FALSE,8.84741E+17
Twitter for iPhone,The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They  can't win so all they do is slow things down &amp; obstruct!,,,97500,FALSE,8.84729E+17
Twitter for iPhone,RT @foxandfriends: SEN. CRUZ: It's crazy to go an August recess without having Obamacare repealed. We should work every day until it is don…,,,0,TRUE,8.84726E+17
Twitter for iPhone,RT @foxandfriends: White House calls out Senate Democrats for obstructing nominees ,https://t.co/O6Rsx5i2CZ,,0,TRUE,8.84726E+17
Twitter for iPhone,RT @foxandfriends: Head of the NYPD union slams Mayor de Blasio for skipping vigil for assassinated cop Miosotis Familia ,https://t.co/nVWLb…,,0,TRUE,8.8438E+17
